day,f_k
1,0.007254913392147101
2,0.019913891601337944
3,0.029626153587507347
4,0.03677634290201907
5,0.041796960711758174
6,0.045077739134474326
7,0.046955322487815754
8,0.04771533638204148
9,0.047597548216125884
10,0.04680163669900034
11,0.04549274894637523
12,0.04380656217162504
13,0.041853770959237147
14,0.03972400469694515
15,0.03748921427277596
16,0.035206579985882835
17,0.03292099542055649
18,0.030667180138093775
19,0.028471470043770264
20,0.026353329487792898
21,0.02432662422255727
22,0.022400689597256607
23,0.02058122398312512
24,0.018871033451787644
25,0.01727065018800522
26,0.015778843991312574
27,0.014393043480451784
28,0.013109681225242586
29,0.01192447495659954
30,0.010832655211332809
31,0.009829148220821815
32,0.008908721521151408
33,0.008066098619080475
34,0.007296048068718086
35,0.006593451476040402
36,0.005953354233201091
37,0.00537100217505504
38,0.004841866831729269
39,0.004361661510608017
40,0.003926350067643636
41,0.00353214991182893
42,0.003175530519659353
43,0.0028532085112970007
44,0.0025621401507598396
45,0.002299511973460011
46,0.0020627301112868812
47,0.0018494087742202403
48,0.0016573582548491395
49,0.0014845727452879043
50,0.0013292181923751922
51,0.00118962036462944
52,0.0010642532614423272
53,0.0009517279599028372
54,0.0008507819661699445
55,0.0007602691153740793
56,0.0006791500456888588
57,0.0006064832577065138
58,0.0005414167588958518
59,0.000483180284193252
60,0.00043107807717190916
61,0.0003844822113920898
62,0.0003428264281051252
63,0.000305600464201361
64,0.0002723448429290398
65,0.00024264609926905045
66,0.00021613241178430886
67,0.00019246961312957556
68,0.00017135755211228343
69,0.00015252678114507923
70,0.00013573554404910926
71,0.00012076704041952269
72,0.00010742694406540299
73,9.554115440035815e-05
74,8.495376100481344e-05
75,7.552520293319098e-05
76,6.713060564311757e-05
77,5.965827969633963e-05
78,5.300836659039021e-05
79,4.709161823590602e-05
80,4.1828297691171024e-05
81,3.714718978387044e-05
82,3.2984711220485075e-05
83,2.9284110676042197e-05
84,2.5994750191826732e-05
85,2.3071459979595588e-05
86,2.047395945004027e-05
87,1.816633792994793e-05
88,1.611658914935088e-05
89,1.4296194124296946e-05
90,1.2679747575683464e-05
91,1.1244623481898586e-05
92,9.970675795334394e-06
93,8.839970726981505e-06
94,7.836547367578994e-06
95,6.946203720104016e-06
96,6.156305517923677e-06
97,5.45561545817197e-06
98,4.834140723386504e-06
99,4.282996873938849e-06
100,3.7942863935214177e-06
101,3.360990339595915e-06
102,2.976871716242613e-06
103,2.6363893219638612e-06
104,2.334620959554279e-06
105,2.0671950077266743e-06
106,1.8302294600980318e-06
107,1.6202776290663579e-06
108,1.4342797981514721e-06
109,1.2695201813128776e-06
110,1.12358861392714e-06
111,9.943464639450283e-07
112,8.798963049283515e-07
113,7.785549402949954e-07
114,6.888294133977624e-07
115,6.093956782526888e-07
