Analysis,Scenario,Case,MAE_Mean,MAE_SD
Gamma,A,True,0.031131512765083656,0.003047776707579939
Gamma,A,Mean+20%,0.04659806502305133,0.003355948510440006
Gamma,A,Mean-20%,0.03978220909418652,0.0032890240950900033
Gamma,A,Shape+50%,0.040609101832897634,0.003179432013811651
Gamma,A,Shape-50%,0.06257321642798071,0.0035840670371182284
Sigma,A,Sigma_1,0.03300866919793409,0.0059244889171808385
Sigma,A,Sigma_3,0.032102158185243736,0.0048925511828743625
Sigma,A,Sigma_5,0.03216869324079313,0.004764073948878351
Sigma,A,Sigma_7,0.03222881262276397,0.004808235237712896
Sigma,A,Sigma_10,0.032171420189090416,0.004770159695083652
Distribution,A,Gamma,0.032067899080589504,0.00437040780571742
Distribution,A,Weibull,0.04015432467710259,0.004267660961827382
Distribution,A,Lognormal,0.04021923858813365,0.003589587027076041
Gamma,B,True,0.038298309323142765,0.0024845871227796475
Gamma,B,Mean+20%,0.050969139364731554,0.008711818604900456
Gamma,B,Mean-20%,0.06550048197951562,0.010036042144935042
Gamma,B,Shape+50%,0.04091811553839334,0.0039252321762264465
Gamma,B,Shape-50%,0.06281002845924742,0.0041874677844831835
Sigma,B,Sigma_1,0.07306423201947373,0.008064331695003214
Sigma,B,Sigma_3,0.03838901936959092,0.005647003191428328
Sigma,B,Sigma_5,0.03651663409193061,0.005595534768074257
Sigma,B,Sigma_7,0.03608716846644132,0.005598146059429964
Sigma,B,Sigma_10,0.035863071472114774,0.0055728461229106775
Distribution,B,Gamma,0.03506668231095289,0.003621412182923917
Distribution,B,Weibull,0.04099965214903986,0.00509976872763995
Distribution,B,Lognormal,0.035685658779689815,0.002750503435484916
Gamma,C,True,0.026380462999566152,0.002229561759609952
Gamma,C,Mean+20%,0.04633577217592258,0.003278388906187932
Gamma,C,Mean-20%,0.04151724440546044,0.0042352986185532175
Gamma,C,Shape+50%,0.036980350867649385,0.00390312557804396
Gamma,C,Shape-50%,0.061224291386247354,0.0033967798487571847
Sigma,C,Sigma_1,0.03000585416975146,0.002825600192615369
Sigma,C,Sigma_3,0.02636062946476243,0.002168700031873956
Sigma,C,Sigma_5,0.026218037539038487,0.0020688099447212648
Sigma,C,Sigma_7,0.026224578485714307,0.002010666477925155
Sigma,C,Sigma_10,0.026222899045590674,0.002024900776499794
Distribution,C,Gamma,0.027485260908273967,0.0027227373164939806
Distribution,C,Weibull,0.03537382084360468,0.0035807930261164927
Distribution,C,Lognormal,0.035481588805071296,0.002522130534267553
Gamma,D,True,0.025661427077833553,0.0014790783642402577
Gamma,D,Mean+20%,0.04850769739605,0.0032015706068099425
Gamma,D,Mean-20%,0.047966197112287653,0.004021388791102027
Gamma,D,Shape+50%,0.041979967393846865,0.0024962408614700475
Gamma,D,Shape-50%,0.05976796451175333,0.001987969018134896
Sigma,D,Sigma_1,0.03352327609891146,0.0018179680886353717
Sigma,D,Sigma_3,0.026063573631329162,0.0020541213234796566
Sigma,D,Sigma_5,0.025139159431061004,0.001912020289362943
Sigma,D,Sigma_7,0.024930853288613126,0.0019067752828952173
Sigma,D,Sigma_10,0.024878694676773404,0.0017431582803516573
Distribution,D,Gamma,0.025341569197038134,0.0019266389444502305
Distribution,D,Weibull,0.033894004942594966,0.0019889615745193132
Distribution,D,Lognormal,0.04169588580323901,0.0015768984631107325
Gamma,E,True,0.03184165687794364,0.003777149089861413
Gamma,E,Mean+20%,0.06780602403954467,0.004508845833077371
Gamma,E,Mean-20%,0.06996727142311289,0.003938381864269228
Gamma,E,Shape+50%,0.0418820075008874,0.0031085307331415305
Gamma,E,Shape-50%,0.06580215262039273,0.004115234774558791
Sigma,E,Sigma_1,0.04560052346388289,0.002527405690956464
Sigma,E,Sigma_3,0.03174967300943681,0.0027115822140203593
Sigma,E,Sigma_5,0.029855714350734624,0.002563546982800128
Sigma,E,Sigma_7,0.029573086687209586,0.002483608597771382
Sigma,E,Sigma_10,0.029421081407459793,0.0025090815052605186
Distribution,E,Gamma,0.03125284080190823,0.003802025382177432
Distribution,E,Weibull,0.03894171569671716,0.004408406789837017
Distribution,E,Lognormal,0.037747792644003644,0.0041938415011019085
Gamma,F,True,0.03145923040832803,0.0022257519134931854
Gamma,F,Mean+20%,0.06331909151174882,0.007237904413320075
Gamma,F,Mean-20%,0.0654561156857097,0.007557143188442999
Gamma,F,Shape+50%,0.05048330630661135,0.0031089855828868532
Gamma,F,Shape-50%,0.08116263368962093,0.00547696550410318
Sigma,F,Sigma_1,0.0333336985185121,0.00268217136217399
Sigma,F,Sigma_3,0.030624999434410077,0.0021956750447209438
Sigma,F,Sigma_5,0.03051732676234954,0.002169527947615467
Sigma,F,Sigma_7,0.03053692502728177,0.002207428415095728
Sigma,F,Sigma_10,0.030494240780200393,0.002202946296498153
Distribution,F,Gamma,0.0322219288053468,0.0024158775894633534
Distribution,F,Weibull,0.04268079468151807,0.0032219893021084287
Distribution,F,Lognormal,0.05394445810958639,0.002193384634671247
