Analysis,Scenario,Case,MAE_Mean,MAE_SD
Gamma,A,True,0.027987936203724594,0.00377185402279968
Gamma,A,Mean+20%,0.042276655432987885,0.004774018829367935
Gamma,A,Mean-20%,0.039312441661679874,0.004570720526170996
Gamma,A,Shape+50%,0.03979967491011786,0.004240175867813514
Gamma,A,Shape-50%,0.058299534651744124,0.004709433496532003
Sigma,A,Sigma_1,0.0294354461019998,0.0039681470375151524
Sigma,A,Sigma_3,0.028191052895879573,0.003742529423908743
Sigma,A,Sigma_5,0.028277402530129222,0.003702361919410189
Sigma,A,Sigma_7,0.028310183352001972,0.003690160751867754
Sigma,A,Sigma_10,0.028329980132287495,0.0036836697291632975
Distribution,A,Gamma,0.029303350550136064,0.0036337957398226216
Distribution,A,Weibull,0.037429181110026404,0.004159656780705974
Distribution,A,Lognormal,0.03815594924038724,0.002947006498450495
Gamma,B,True,0.03252608915070106,0.004759999648174585
Gamma,B,Mean+20%,0.047350861262106664,0.0068332814211454675
Gamma,B,Mean-20%,0.06324146457941984,0.008977272114765754
Gamma,B,Shape+50%,0.03565644439573513,0.004882713917196475
Gamma,B,Shape-50%,0.05712868482172508,0.005903665659215127
Sigma,B,Sigma_1,0.06908523381602129,0.008240273762395505
Sigma,B,Sigma_3,0.03387068032728812,0.004559937987106959
Sigma,B,Sigma_5,0.031921396628890306,0.00452157251389193
Sigma,B,Sigma_7,0.031405117418155784,0.004508502666138541
Sigma,B,Sigma_10,0.031161077140663417,0.004501937237078804
Distribution,B,Gamma,0.032849581640592575,0.004637716139002982
Distribution,B,Weibull,0.03874556284142882,0.005076893361588602
Distribution,B,Lognormal,0.03322550192568639,0.004347115660186353
Gamma,C,True,0.022334823996892954,0.0026340914625482864
Gamma,C,Mean+20%,0.041144572752987926,0.003828585312862956
Gamma,C,Mean-20%,0.04120330677511443,0.0047263612974719985
Gamma,C,Shape+50%,0.034374343887573995,0.0031500446454552685
Gamma,C,Shape-50%,0.05782956718370337,0.004828890227428593
Sigma,C,Sigma_1,0.02620049579853824,0.0033290564800705193
Sigma,C,Sigma_3,0.02224906209833341,0.0032817854030645693
Sigma,C,Sigma_5,0.022152803723348248,0.0032817592945706114
Sigma,C,Sigma_7,0.022149635127152716,0.0032801950058349016
Sigma,C,Sigma_10,0.022153203309429353,0.0032779140644295652
Distribution,C,Gamma,0.022566908107127092,0.003111637076754193
Distribution,C,Weibull,0.030206207296351796,0.0035183235897368356
Distribution,C,Lognormal,0.031245830312053285,0.0027628384653140847
Gamma,D,True,0.020628569886146392,0.002454406251456599
Gamma,D,Mean+20%,0.04595593413369912,0.004127129666338534
Gamma,D,Mean-20%,0.045513971187275314,0.0041494034608332815
Gamma,D,Shape+50%,0.03927052911972474,0.002644837806766017
Gamma,D,Shape-50%,0.05566382721457415,0.0036570732985724756
Sigma,D,Sigma_1,0.029197739641749477,0.0026051151224081577
Sigma,D,Sigma_3,0.021937179106616318,0.0027851887607161663
Sigma,D,Sigma_5,0.021046152181738716,0.0027444114542323193
Sigma,D,Sigma_7,0.02082180168257913,0.00273174323433734
Sigma,D,Sigma_10,0.02071137017797489,0.0027191549586582015
Distribution,D,Gamma,0.02126546926913443,0.0029270406348144264
Distribution,D,Weibull,0.02967211697249367,0.003346013765982361
Distribution,D,Lognormal,0.03936258514521775,0.00255059511823798
Gamma,E,True,0.027676790155047447,0.003865729716970456
Gamma,E,Mean+20%,0.06744978627162572,0.006205275348349797
Gamma,E,Mean-20%,0.06945751965349743,0.006705533015693823
Gamma,E,Shape+50%,0.042356199504547734,0.00363986183306918
Gamma,E,Shape-50%,0.06041051015341635,0.005416032415140929
Sigma,E,Sigma_1,0.043822852463072895,0.0038262607009845904
Sigma,E,Sigma_3,0.02963939826439727,0.003661180612808867
Sigma,E,Sigma_5,0.027794819552158897,0.0036490270051320983
Sigma,E,Sigma_7,0.027287135454057282,0.0036434954236752343
Sigma,E,Sigma_10,0.02702817493423244,0.0036445332493201736
Distribution,E,Gamma,0.027902739684832017,0.003619047936198514
Distribution,E,Weibull,0.0344524225244453,0.004120046209236034
Distribution,E,Lognormal,0.03970160414694203,0.0033469898223915657
Gamma,F,True,0.027548738261786367,0.003958635652638035
Gamma,F,Mean+20%,0.06364897245057984,0.0063699113390402635
Gamma,F,Mean-20%,0.063015035822918,0.006337960973074811
Gamma,F,Shape+50%,0.04647492235989689,0.004321927634073079
Gamma,F,Shape-50%,0.07782118442892279,0.0063325415177092614
Sigma,F,Sigma_1,0.030244908317526163,0.0036972048733748355
Sigma,F,Sigma_3,0.0278643531203993,0.003390211676293247
Sigma,F,Sigma_5,0.027740032423947725,0.0034025176491480134
Sigma,F,Sigma_7,0.027713753929567524,0.003404827192216841
Sigma,F,Sigma_10,0.02770379153280305,0.003405290937307272
Distribution,F,Gamma,0.028374368585823255,0.004242750769103191
Distribution,F,Weibull,0.0388632246031387,0.00488980719338949
Distribution,F,Lognormal,0.048395413623420994,0.0039266880246172225
